device_id,gender,age,group
-8076087639492063270,1,35,132-38
-2897161552818060146,1,35,132-38
-8260683887967679142,1,35,132-38
-4938849341048082022,1,30,129-31
245133531816851882,1,30,129-31
-1297074871525174196,0,24,024-26
236877999787307864,1,36,132-38
-8098239495777311881,1,38,132-38
176515041953473526,1,33,132-38
1596610250680140042,0,36,033-42
9032155484127182494,1,31,129-31
7477216237379271436,0,37,033-42
2478205222798310601,0,28,027-28
6352067998666467520,1,32,132-38
-7605360767281960867,1,48,139+
1508636020748379883,0,28,027-28
4380872794486415327,1,38,132-38
-1039701474753771322,1,38,132-38
-6876541075223249434,1,75,139+
6287938418661076759,1,33,132-38
-6029676723224952628,0,39,033-42
8026504930081700361,1,25,123-26
1118970699362079126,1,24,123-26
-7271319853104672050,1,27,127-28
-9216966316587614491,1,29,129-31
-4913644674161904021,1,34,132-38
2313145512701915151,1,34,132-38
4309468945717577632,0,36,033-42
-4547337748907986143,1,37,132-38
-7216269352973401877,1,37,132-38
-7303294878482532208,1,33,132-38
7630241409816671260,1,35,132-38
7106922851105968241,1,22,122-
-5825546292084395293,1,31,129-31
5886404762741543631,1,37,132-38
3444770318780911055,1,36,132-38
3549658489155683094,1,26,123-26
-7360652256644378412,1,38,132-38
-3207654344601946580,1,38,132-38
-1279883160764317574,1,31,129-31
3014072209520807550,1,28,127-28
-2871140782885206484,1,22,122-
-5070177130701218827,1,31,129-31
-1539979963116391306,1,31,129-31
-5349338524207284103,1,27,127-28
-147287084274333707,1,27,127-28
-5712152567169524766,1,27,127-28
-3305321723886863103,1,27,127-28
-800851341622326751,0,27,027-28
6870382681059864892,1,29,129-31
-1173303210238773591,0,34,033-42
6677393742805480020,1,31,129-31
1865480732945072123,1,31,129-31
336916678843446187,0,36,033-42
670584488453511085,0,36,033-42
5874501925603975585,1,38,132-38
-7058264257379185672,1,38,132-38
-7731743086143077949,1,35,132-38
-1457089681368225820,1,47,139+
3098621662950438701,1,31,129-31
-3563791052716940236,1,25,123-26
-5348866880284858420,1,25,123-26
-4180524547237520433,1,36,132-38
-8428853393823283356,1,28,127-28
-6290480893520011063,1,44,139+
6223951438363242934,1,28,127-28
-4370696809239943432,1,36,132-38
-6083834394280548453,0,27,027-28
-1246353335731124816,1,32,132-38
-6552729385743211,1,28,127-28
5938577683122528158,1,48,139+
-3235628390898753137,1,44,139+
-4144208717804687615,1,44,139+
8844957623159520450,1,28,127-28
4156261305872406545,1,21,122-
-6785797459639810711,1,28,127-28
-8080952034040064218,0,44,043+
6354951364862886829,0,44,043+
